University Name,Name
Harvard College,Alberto Alesina
Harvard College,Isaiah Andrews
Harvard College,Pol Antràs
Harvard College,Robert J. Barro
Harvard College,Emily Breza
Harvard College,John Y. Campbell
Harvard College,Gary Chamberlain
Harvard College,Raj Chetty
Harvard College,Gabriel Chodorow-Reich
Harvard College,Richard Cooper
Harvard College,David M. Cutler
Harvard College,Melissa Dell
Harvard College,Karen Dynan
Harvard College,Benjamin Enke
Harvard College,Emmanuel Farhi
Harvard College,Martin Feldstein
Harvard College,Christopher Foote
Harvard College,Richard B. Freeman
Harvard College,Benjamin Friedman
Harvard College,"Roland G. Fryer, Jr."
Harvard College,Xavier Gabaix
Harvard College,Edward Glaeser
Harvard College,Claudia Goldin
Harvard College,Benjamin Golub
Harvard College,Gita Gopinath
Harvard College,Jerry Green
Harvard College,Oliver Hart
Harvard College,Elhanan Helpman
Harvard College,Nathaniel Hendren
Harvard College,Dale Jorgenson
Harvard College,Myrto Kalouptsidi
Harvard College,Maximilian Kasy
Harvard College,Lawrence Katz
Harvard College,Gabriel Kreindler
Harvard College,Michael Kremer
Harvard College,David Laibson
Harvard College,Robin Lee
Harvard College,Matteo Maggiori
Harvard College,N. Gregory Mankiw
Harvard College,Stephen Marglin
Harvard College,Eric S. Maskin
Harvard College,Marc Melitz
Harvard College,Jeffrey Miron
Harvard College,Nathan Nunn
Harvard College,Ariel Pakes
Harvard College,Amanda Pallais
Harvard College,Matthew Rabin
Harvard College,Gautam Rao
Harvard College,Kenneth Rogoff
Harvard College,Amartya Sen
Harvard College,Neil Shephard
Harvard College,Andrei Shleifer
Harvard College,Stefanie Stantcheva
Harvard College,Jeremy Stein
Harvard College,James Stock
Harvard College,Tomasz Strzalecki
Harvard College,Lawrence H. Summers
Harvard College,Elie Tamer
University of Chicago,Robert Shimer
University of Chicago,Ufuk Akcigit
University of Chicago,Fernando Alvarez
University of Chicago,Stéphane Bonhomme
University of Chicago,Benjamin Brooks
University of Chicago,Leonardo Bursztyn
University of Chicago,Manasi Deshpande
University of Chicago,Michael Dinerstein
University of Chicago,David Galenson
University of Chicago,Mikhail Golosov
