University Name,Name,match_1_score,match_1_author_id,match_1_author_name,match_1_author_url,match_2_score,match_2_author_id,match_2_author_name,match_2_author_url,match_3_score,match_3_author_id,match_3_author_name,match_3_author_url,manual_match,repec_author_id
Harvard College,Alberto Alesina,100.0,pal207,"Alesina, Alberto Francesco",https://econpapers.repec.org/RAS/pal207.htm,76.25,pva347,"Valdes, Alberto",https://econpapers.repec.org/RAS/pva347.htm,73.125,pal531,"Alberdi, Alberto",https://econpapers.repec.org/RAS/pal531.htm,,pal207
Harvard College,Isaiah Andrews,74.125,pan625,"Andrews, Michael J.",https://econpapers.repec.org/RAS/pan625.htm,73.375,pan288,"Andrews, Margaret Susan",https://econpapers.repec.org/RAS/pan288.htm,72.5,pan594,"ANDRES, Luis Alberto",https://econpapers.repec.org/RAS/pan594.htm,,
Harvard College,Pol Antràs,100.0,pan181,"Antras, Pol",https://econpapers.repec.org/RAS/pan181.htm,66.875,pma149,"Manasse, Paolo",https://econpapers.repec.org/RAS/pma149.htm,66.875,pca1083,"Canfora, Paolo",https://econpapers.repec.org/RAS/pca1083.htm,,pan181
Harvard College,Robert J. Barro,100.0,pba251,"Barro, Robert J.",https://econpapers.repec.org/RAS/pba251.htm,79.375,psp22,"Sparrow, Robert",https://econpapers.repec.org/RAS/psp22.htm,73.25,pba1125,"Barreto, Humberto",https://econpapers.repec.org/RAS/pba1125.htm,,pba251
Harvard College,Emily Breza,79.375,pbe818,"Beam, Emily Allison",https://econpapers.repec.org/RAS/pbe818.htm,71.875,pba1779,"Barker, Emily R",https://econpapers.repec.org/RAS/pba1779.htm,69.125,pre362,"Reza, Edison Bolívar",https://econpapers.repec.org/RAS/pre362.htm,,
Harvard College,John Y. Campbell,100.0,pca54,"Campbell, John Y.",https://econpapers.repec.org/RAS/pca54.htm,76.25,pca136,"Cantwell, John",https://econpapers.repec.org/RAS/pca136.htm,74.875,pca826,"Campbell, Benjamin",https://econpapers.repec.org/RAS/pca826.htm,,pca54
Harvard College,Gary Chamberlain,100.0,pch1911,"Chamberlain, Gary",https://econpapers.repec.org/RAS/pch1911.htm,77.5,pch1392,"Chamberlain, Andrew David",https://econpapers.repec.org/RAS/pch1392.htm,70.625,pab281,"Abel, Gary",https://econpapers.repec.org/RAS/pab281.htm,,pch1911
Harvard College,Raj Chetty,100.0,pch161,"Chetty, Raj",https://econpapers.repec.org/RAS/pch161.htm,68.75,pbh114,"Bhatta, Siddha Raj",https://econpapers.repec.org/RAS/pbh114.htm,65.0,phe340,"Hett, Florian",https://econpapers.repec.org/RAS/phe340.htm,,pch161
Harvard College,Gabriel Chodorow-Reich,100.0,pch1494,"Chodorow-Reich, Gabriel Isaac",https://econpapers.repec.org/RAS/pch1494.htm,68.75,pco752,"Correa, Gabriel Barreto",https://econpapers.repec.org/RAS/pco752.htm,67.5,peh25,"Ehrlich, Gabriel",https://econpapers.repec.org/RAS/peh25.htm,,pch1494
Harvard College,Richard Cooper,79.375,pco910,"Condor, Richard",https://econpapers.repec.org/RAS/pco910.htm,76.0,pco873,"Cooper, Ruth Cassandra",https://econpapers.repec.org/RAS/pco873.htm,76.0,pco806,"Cooper, Ilan",https://econpapers.repec.org/RAS/pco806.htm,,
Harvard College,David M. Cutler,100.0,pcu64,"Cutler, David M.",https://econpapers.repec.org/RAS/pcu64.htm,76.25,pri289,"Richter, David",https://econpapers.repec.org/RAS/pri289.htm,76.25,pcu61,"Cuberes, David",https://econpapers.repec.org/RAS/pcu61.htm,,pcu64
